入场日,出场日,入场价,出场价,盈亏,结果,持仓天数
2020-02-26,2020-03-13,17.826,14.826,3.0,止盈,16
2020-03-16,2020-03-25,12.772,14.272,-1.5,止损,9
2020-04-21,2020-05-15,14.818,16.318,-1.5,止损,24
2020-06-05,2020-07-08,17.443,18.943,-1.5,止损,33
2020-07-29,2020-08-04,24.293,25.793,-1.5,止损,6
2020-08-07,2020-08-10,27.533,29.033,-1.5,止损,3
2020-08-11,2020-08-13,26.037,27.537,-1.5,止损,2
2020-08-14,2020-08-17,26.065,27.565,-1.5,止损,3
2020-08-20,2020-09-01,27.122,28.622,-1.5,止损,12
2020-09-02,2020-09-21,27.249,24.249,3.0,止盈,19
2020-09-22,2020-12-17,24.442,25.942,-1.5,止损,86
2020-12-22,2021-01-04,25.434,26.934,-1.5,止损,13
2021-01-08,2021-01-28,24.582,26.082,-1.5,止损,20
2021-02-02,2021-02-22,26.384,27.884,-1.5,止损,20
2021-02-26,2021-05-10,26.402,27.902,-1.5,止损,73
2021-05-21,2021-08-06,27.473,24.473,3.0,止盈,77
2021-08-09,2021-09-03,23.255,24.755,-1.5,止损,25
2021-09-13,2021-11-11,23.753,25.253,-1.5,止损,59
2021-11-23,2022-02-24,23.435,24.935,-1.5,止损,93
2022-02-25,2022-03-01,23.997,25.497,-1.5,止损,4
2022-03-09,2022-04-29,25.757,22.757,3.0,止盈,51
2022-05-02,2022-07-01,22.544,19.544,3.0,止盈,60
2022-07-05,2022-08-08,19.052,20.552,-1.5,止损,34
2022-08-17,2022-11-08,19.711,21.211,-1.5,止损,83
2022-11-17,2022-12-01,20.955,22.455,-1.5,止损,14
2022-12-05,2022-12-09,22.199,23.699,-1.5,止损,4
2022-12-15,2023-03-07,23.128,20.128,3.0,止盈,82
2023-03-08,2023-03-13,20.005,21.505,-1.5,止损,5
2023-05-11,2023-10-02,24.255,21.255,3.0,止盈,144
2023-10-03,2023-10-13,21.178,22.678,-1.5,止损,10
2023-12-04,2024-04-03,24.555,26.055,-1.5,止损,121
2024-04-15,2024-05-17,28.651,30.151,-1.5,止损,32
2024-05-22,2024-07-25,31.295,28.295,3.0,止盈,64
2024-07-26,2024-08-20,27.86,29.36,-1.5,止损,25
2024-08-30,2024-09-13,28.731,30.231,-1.5,止损,14
2024-09-30,2024-10-04,31.164,32.664,-1.5,止损,4
2024-10-07,2024-10-18,31.745,33.245,-1.5,止损,11
2024-10-23,2024-11-11,33.64,30.64,3.0,止盈,19
2024-11-12,2024-12-09,30.686,32.186,-1.5,止损,27
2024-12-12,2025-01-31,31.228,32.728,-1.5,止损,50
2025-02-19,2025-03-14,32.993,34.493,-1.5,止损,23
2025-03-21,2025-03-27,33.29,34.79,-1.5,止损,6
2025-04-01,2025-04-04,34.158,31.158,3.0,止盈,3
2025-04-07,2025-04-10,29.51,31.01,-1.5,止损,3
2025-04-30,2025-06-02,32.531,34.031,-1.5,止损,33
2025-06-20,2025-07-11,35.976,37.476,-1.5,止损,21
2025-07-15,2025-07-22,37.834,39.334,-1.5,止损,7
2025-07-25,2025-08-29,38.167,39.667,-1.5,止损,35
2025-10-02,2025-10-03,46.0,47.5,-1.5,止损,1
2025-10-09,2025-10-13,46.85,48.35,-1.5,止损,4
2025-10-17,2025-10-20,49.864,51.364,-1.5,止损,3
2025-10-21,2025-11-10,47.45,48.95,-1.5,止损,20
2025-11-14,2025-11-26,50.59,52.09,-1.5,止损,12
2025-12-04,2025-12-05,56.847,58.347,-1.5,止损,1
2025-12-08,2025-12-09,57.779,59.279,-1.5,止损,1
2025-12-12,2025-12-15,61.362,62.862,-1.5,止损,3
2025-12-16,2025-12-17,62.7,64.2,-1.5,止损,1
2025-12-18,2025-12-19,64.592,66.092,-1.5,止损,1
2025-12-29,2025-12-30,69.856,71.356,-1.5,止损,1
2025-12-31,2026-01-02,70.134,71.634,-1.5,止损,2
2026-01-05,2026-01-06,76.164,77.664,-1.5,止损,1
2026-01-07,2026-01-08,77.135,74.135,3.0,止盈,1
2026-01-09,2026-01-12,78.884,80.384,-1.5,止损,3
2026-01-15,2026-01-16,91.876,88.876,3.0,止盈,1
2026-01-21,2026-01-22,92.21,93.71,-1.5,止损,1
2026-01-27,2026-01-28,105.523,107.023,-1.5,止损,1
2026-01-29,2026-01-30,114.037,111.037,3.0,止盈,1
2026-02-02,2026-02-03,76.778,78.278,-1.5,止损,1
2026-02-04,2026-02-05,84.165,81.165,3.0,止盈,1
2026-02-06,2026-02-09,76.735,78.235,-1.5,止损,3
2026-02-10,2026-02-11,80.218,81.718,-1.5,止损,1
2026-02-12,2026-02-13,75.546,77.046,-1.5,止损,1
2026-02-17,2026-02-18,73.447,74.947,-1.5,止损,1
2026-02-19,2026-02-20,77.565,79.065,-1.5,止损,1
2026-02-26,2026-02-27,86.998,88.498,-1.5,止损,1
2026-03-02,2026-03-03,88.284,85.284,3.0,止盈,1
2026-03-04,2026-03-05,82.633,84.133,-1.5,止损,1
2026-03-06,2026-03-09,83.816,80.816,3.0,止盈,3
2026-03-10,2026-03-11,89.083,86.083,3.0,止盈,1
2026-03-12,2026-03-13,84.67,81.67,3.0,止盈,1
2026-03-16,2026-03-17,80.263,81.763,-1.5,止损,1
2026-03-18,2026-03-19,77.238,74.238,3.0,止盈,1
2026-03-20,2026-03-23,69.36,66.36,3.0,止盈,3
2026-03-24,2026-03-25,69.274,70.774,-1.5,止损,1
2026-03-26,2026-03-27,67.671,69.171,-1.5,止损,1
2026-03-30,2026-03-31,70.324,71.824,-1.5,止损,1
2026-04-02,2026-04-08,72.735,74.235,-1.5,止损,6
2026-04-09,2026-04-13,76.277,73.277,3.0,止盈,4
