入场日,出场日,入场价,出场价,毛盈亏,手续费,净盈亏,结果,持仓天数,触发涨幅
2020-03-23,2020-03-25,13.225,14.725,-1.5,0.14,-1.64,止损,2,9.3%
2020-05-15,2020-05-22,17.046,17.664,-0.618,0.174,-0.792,超时平仓,5,8.8%
2020-07-21,2020-07-22,21.497,22.997,-1.5,0.222,-1.722,止损,1,9.2%
2020-08-05,2020-08-06,26.877,28.377,-1.5,0.276,-1.776,止损,1,10.2%
2021-02-01,2021-02-02,29.398,27.898,1.5,0.286,1.214,止盈,1,13.5%
2022-07-29,2022-08-05,20.156,19.819,0.337,0.2,0.137,超时平仓,5,8.6%
2022-10-03,2022-10-10,20.519,19.556,0.963,0.2,0.763,超时平仓,5,10.3%
2023-03-13,2023-03-20,21.793,22.533,-0.74,0.222,-0.962,超时平仓,5,8.8%
2024-05-20,2024-05-23,32.205,30.705,1.5,0.315,1.185,止盈,3,8.6%
2025-11-28,2025-12-01,56.446,57.946,-1.5,0.572,-2.072,止损,1,10.8%
2025-12-26,2025-12-29,76.486,74.986,1.5,0.757,0.743,止盈,1,8.5%
2026-01-05,2026-01-06,76.164,77.664,-1.5,0.769,-2.269,止损,1,8.6%
2026-01-12,2026-01-13,84.61,86.11,-1.5,0.854,-2.354,止损,1,13.2%
2026-01-23,2026-01-26,100.925,102.425,-1.5,1.017,-2.517,止损,1,9.5%
2026-01-29,2026-01-30,114.037,112.537,1.5,1.133,0.367,止盈,1,8.1%
2026-02-04,2026-02-05,84.165,82.665,1.5,0.834,0.666,止盈,1,9.6%
2026-02-23,2026-02-25,86.523,88.023,-1.5,0.873,-2.373,止损,2,11.5%
